Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Murid betaherpesvirus 2;Muromegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Murid betaherpesvirus 8;Muromegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Elephantid betaherpesvirus 1;Proboscivirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human betaherpesvirus 7;Roseolovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human betaherpesvirus 6A;Roseolovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human betaherpesvirus 6B;Roseolovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Caviid betaherpesvirus 2;Unassigned;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Suid betaherpesvirus 2;Unassigned;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Tupaiid betaherpesvirus 1;Unassigned;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Callitrichine gammaherpesvirus 3;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cercopithecine gammaherpesvirus 14;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Gorilline gammaherpesvirus 1;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human gammaherpesvirus 4;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macacine gammaherpesvirus 4;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Panine gammaherpesvirus 1;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Papiine gammaherpesvirus 1;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Pongine gammaherpesvirus 2;Lymphocryptovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Alcelaphine gammaherpesvirus 1;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Alcelaphine gammaherpesvirus 2;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bovine gammaherpesvirus 6;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Caprine gammaherpesvirus 2;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Hippotragine gammaherpesvirus 1;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Ovine gammaherpesvirus 2;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Suid gammaherpesvirus 3;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Suid gammaherpesvirus 4;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Suid gammaherpesvirus 5;Macavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid gammaherpesvirus 2;Percavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid gammaherpesvirus 5;Percavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Mustelid gammaherpesvirus 1;Percavirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Ateline gammaherpesvirus 2;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Ateline gammaherpesvirus 3;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bovine gammaherpesvirus 4;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cricetid gammaherpesvirus 2;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human gammaherpesvirus 8;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macacine gammaherpesvirus 5;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Murid gammaherpesvirus 4;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Murid gammaherpesvirus 7;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Saimiriine gammaherpesvirus 2;Rhadinovirus;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid gammaherpesvirus 7;Unassigned;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Phocid gammaherpesvirus 2;Unassigned;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Saguinine gammaherpesvirus 1;Unassigned;Gammaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Iguanid herpesvirus 2;Unassigned;Unassigned;Herpesviridae;Herpesvirales;dsDNA
Haliotid herpesvirus 1;Aurivirus;Unassigned;Malacoherpesviridae;Herpesvirales;dsDNA
Ostreid herpesvirus 1;Ostreavirus;Unassigned;Malacoherpesviridae;Herpesvirales;dsDNA
Acidianus filamentous virus 3;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 6;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 7;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 8;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 9;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Sulfolobus islandicus filamentous virus;Betalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 2;Deltalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus filamentous virus 1;Gammalipothrixvirus;Unassigned;Lipothrixviridae;Ligamenvirales;dsDNA
Acidianus rod-shaped virus 1;Rudivirus;Unassigned;Rudiviridae;Ligamenvirales;dsDNA
Sulfolobus islandicus rod-shaped virus 1;Rudivirus;Unassigned;Rudiviridae;Ligamenvirales;dsDNA
Sulfolobus islandicus rod-shaped virus 2;Rudivirus;Unassigned;Rudiviridae;Ligamenvirales;dsDNA
Elapid 1 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Mammalian 1 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Mammalian 2 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Passeriform 1 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Passeriform 2 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Psittaciform 1 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Psittaciform 2 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Waterbird 1 bornavirus;Bornavirus;Unassigned;Bornaviridae;Mononegavirales;ssRNA(-)
Lloviu cuevavirus;Cuevavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Bundibugyo ebolavirus;Ebolavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Reston ebolavirus;Ebolavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Sudan ebolavirus;Ebolavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Ta\xef Forest ebolavirus;Ebolavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Zaire ebolavirus;Ebolavirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Marburg marburgvirus;Marburgvirus;Unassigned;Filoviridae;Mononegavirales;ssRNA(-)
Sclerotinia sclerotimonavirus;Sclerotimonavirus;Unassigned;Mymonaviridae;Mononegavirales;ssRNA(-)
Midway nyavirus;Nyavirus;Unassigned;Nyamiviridae;Mononegavirales;ssRNA(-)
Nyamanini nyavirus;Nyavirus;Unassigned;Nyamiviridae;Mononegavirales;ssRNA(-)
Sierra Nevada nyavirus;Nyavirus;Unassigned;Nyamiviridae;Mononegavirales;ssRNA(-)
Pteromalus puparum peropuvirus;Peropuvirus;Unassigned;Nyamiviridae;Mononegavirales;ssRNA(-)
Soybean cyst nematode socyvirus;Socyvirus;Unassigned;Nyamiviridae;Mononegavirales;ssRNA(-)
Salmon aquaparamyxovirus;Aquaparamyxovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 1;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 2;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 3;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 4;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 5;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 6;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 7;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 8;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 9;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 10;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 11;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 12;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian avulavirus 13;Avulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Reptilian ferlavirus;Ferlavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Cedar henipavirus;Henipavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Ghanaian bat henipavirus;Henipavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Hendra henipavirus;Henipavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Mojiang henipavirus;Henipavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Nipah henipavirus;Henipavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Canine morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Cetacean morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Feline morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Measles morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Phocine morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Rinderpest morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Small ruminant morbillivirus;Morbillivirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Bovine respirovirus 3;Respirovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Human respirovirus 1;Respirovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Human respirovirus 3;Respirovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Murine respirovirus;Respirovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Porcine respirovirus 1;Respirovirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Achimota rubulavirus 1;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Achimota rubulavirus 2;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Bat mumps rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Human rubulavirus 2;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Human rubulavirus 4;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Mammalian rubulavirus 5;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Mapuera rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Menangle rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Mumps rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Porcine rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Simian rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Sosuga rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Teviot rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Tioman rubulavirus;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Tuhoko rubulavirus 1;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Tuhoko rubulavirus 2;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Tuhoko rubulavirus 3;Rubulavirus;Unassigned;Paramyxoviridae;Mononegavirales;ssRNA(-)
Avian metapneumovirus;Metapneumovirus;Unassigned;Pneumoviridae;Mononegavirales;ssRNA(-)
Human metapneumovirus;Metapneumovirus;Unassigned;Pneumoviridae;Mononegavirales;ssRNA(-)
Bovine orthopneumovirus;Orthopneumovirus;Unassigned;Pneumoviridae;Mononegavirales;ssRNA(-)
Human orthopneumovirus;Orthopneumovirus;Unassigned;Pneumoviridae;Mononegavirales;ssRNA(-)
Murine orthopneumovirus;Orthopneumovirus;Unassigned;Pneumoviridae;Mononegavirales;ssRNA(-)
Arboretum almendravirus;Almendravirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Balsa almendravirus;Almendravirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Coot Bay almendravirus;Almendravirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Puerto Almendras almendravirus;Almendravirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Rio Chico almendravirus;Almendravirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Curionopolis curiovirus;Curiovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Iriri curiovirus;Curiovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Itacaiunas curiovirus;Curiovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Rochambeau curiovirus;Curiovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Alfalfa dwarf cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Barley yellow striate mosaic cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Broccoli necrotic yellows cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Colocasia bobone disease-associated cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Festuca leaf streak cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Lettuce necrotic yellows cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Lettuce yellow mottle cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Northern cereal mosaic cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Sonchus cytorhabdovirus 1;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Strawberry crinkle cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Wheat American striate mosaic cytorhabdovirus;Cytorhabdovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Coffee ringspot dichorhavirus;Dichorhavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Orchid fleck dichorhavirus;Dichorhavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Adelaide River ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Berrimah ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Bovine fever ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Kimberley ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Koolpinyah ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Kotonkan ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Obodhiang ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Yata ephemerovirus;Ephemerovirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Flanders hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Gray Lodge hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Hart Park hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Joinjakaka hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Kamese hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
La Joya hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Landjia hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Manitoba hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Marco hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Mosqueiro hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Mossuril hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Ngaingan hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Ord River hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Parry Creek hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Wongabel hapavirus;Hapavirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Barur ledantevirus;Ledantevirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
Fikirini ledantevirus;Ledantevirus;Unassigned;Rhabdoviridae;Mononegavirales;ssRNA(-)
